o,d,count
五星路,南湖北路,1
机电市场,南湖北路,1
机电市场,星光花园,1
机电市场,电信公司,1
机电市场,移动公司,1
机电市场,陶瓷市场,1
黑山头,电信公司,1
水泵厂,劳动街,1
水泵厂,大修厂,1
水泵厂,煤矿,1
汽配厂,劳动街,1
机电市场,北门·群艺馆,1
汽配厂,北门·群艺馆,1
油运司,儿童公园,1
油运司,南湖北路,1
油运司,电信公司,1
电信公司,儿童公园,1
移动公司,南湖小区,1
红桥,南湖北路,1
红桥,宏大广场,1
红桥,机电市场,1
陶瓷市场,油运司,1
黑山头,五星路,1
油库,水泵厂,1
机电市场,劳动街,1
黑山头,移动公司,1
星光花园,劳动街,1
师范大学,水泵厂,1
宏大广场,油运司,1
北门·群艺馆,水泵厂,1
宏大广场,医学院,1
儿童公园,兵团医院,1
大修厂,南湖北路,1
南湖小区,陶瓷市场,1
劳动街,移动公司,1
南湖小区,星光花园,1
兵团医院,大修厂,1
劳动街,五星路,1
劳动街,儿童公园,1
儿童公园,水泵厂,2
黑山头,油运司,2
医学院,水泵厂,2
南湖北路,儿童公园,2
水泵厂,儿童公园,2
水泵厂,电信公司,2
大修厂,机电市场,2
水泵厂,南湖北路,2
油库,南湖北路,2
电信公司,油运司,3
电信公司,水泵厂,3
油库,劳动街,3
南湖小区,儿童公园,4
红桥,师范大学,4
油运司,水泵厂,4
黑山头,劳动街,4
电信公司,南湖北路,4
医学院,南湖北路,4
汽改厂,电信公司,5
红桥,星光花园,5
宏大广场,汽改厂,6
南湖北路,水泵厂,7
南湖小区,大修厂,10
机电市场,儿童公园,10
劳动街,星光花园,11
黑山头,儿童公园,16
